0,First period
1,Irregular periods
2,Other
3,STDs
4,Masturbation
5,Masturbation
6,Pregnancy
7,Sex
8,Other sexual health issues
9,Sex
10,Feedback_suggestion
11,Sex
12,Attraction
13,Sex
14,Sex
15,Sex
16,Masturbation
17,Sex
18,Sex
19,Sex
20,Other sexual health issues
21,Other
22,Sex
23,Sex
24,Contraceptives
25,Puberty
26,\N
27,Other
28,Sex
29,Sex
30,Sex
31,Masturbation
32,Sex
33,Sex
34,Sex
35,Sex
36,Love and relationship
37,Other sexual health issues
38,Other sexual health issues
39,Irregular periods
40,Sex
41,Sex
42,Sex
43,Feedback_suggestion
44,Sex
45,STDs
46,Love and relationship
47,Masturbation
48,Masturbation
49,Masturbation
50,Irregular periods
51,Sex
52,Pre-mature ejaculation_Nightfall
53,Sex
54,Love and relationship
55,Sex
56,Sex
57,Sex
58,Other sexual health issues
59,Other
60,Sex
61,Physical changes
62,Sex
63,Sex
64,\N
65,Sex
66,Other
67,Sex
68,Sex
69,Sex
70,Love and relationship
71,Pregnancy
72,Other sexual health issues
73,Other
74,Other
75,Other sexual health issues
76,Sex
77,Other
78,Other
79,Contraceptives
80,Sex
81,Pre-mature ejaculation_Nightfall
82,Male
83,Sex
84,Other sexual health issues
85,Contraceptives
86,Other
87,
88,Sex
89,Other sexual health issues
90,Other sexual health issues
91,Talk
92,Other
93,Other sexual health issues
94,Other
95,Other sexual health issues
96,Other sexual health issues
97,Physical changes
98,Pre-mature ejaculation_Nightfall
99,Sex
100,Masturbation
101,Masturbation
102,Sex
103,Other sexual health issues
104,Masturbation
105,Cramp and pain (stress) 
106,Sex
107,Sex
108,Other sexual health issues
109,Sex
110,Sex
111,Sex
112,Other
113,Sex
114,Sex
115,Pregnancy
116,Pre-mature ejaculation_Nightfall
117,Sex
118,Other sexual health issues
119,Sex
120,Pre-mature ejaculation_Nightfall
121,Sex
122,Pregnancy
123,Other sexual health issues
124,Sex
125,Attraction
126,Sex
127,Sex
128,Sex
129,Other sexual health issues
130,Sex
131,Sex
132,Other
133,Sex
134,Sex
135,Pre-mature ejaculation_Nightfall
136,Pre-mature ejaculation_Nightfall
137,Sex
138,Other sexual health issues
139,Sex
140,Sex
141,Sex
142,Pregnancy
143,Sex
144,Sex
145,Pre-mature ejaculation_Nightfall
146,Sex
147,Masturbation
148,Sex
149,Cramp and pain (stress) 
150,Sex
151,Sex
152,Other sexual health issues
153,Masturbation
154,Other sexual health issues
155,Sex
156,Sex
157,\N
158,Sex
159,Love and relationship
160,Relationship with parents 
161,
162,Male
163,
164,Sex
165,Pre-mature ejaculation_Nightfall
166,Cramp and pain (stress) 
167,Sex
168,Pregnancy
169,Other
170,Pregnancy
171,Sex
172,Masturbation
173,Other
174,Other
175,Sex
176,Other sexual health issues
177,Other sexual health issues
178,Sex
179,Masturbation
180,Cramp and pain (stress) 
181,Other sexual health issues
182,Masturbation
183,Sex
184,Sex
185,Other sexual health issues
186,Sex
187,Sex
188,Other
189,Sex
190,Sex
191,Other sexual health issues
192,Cramp and pain (stress) 
193,Sex
194,Sex
195,Other sexual health issues
196,Other
197,Sex
198,Sex
199,Masturbation
200,Sex
201,Sex
202,Sex
203,Sex
204,Sex
205,Other sexual health issues
206,Other
